,Time,r,theta
0,0,0.07354543971141403,-1.5598089773959505
1,1,0.32256862773672884,-1.559773666937174
2,2,0.7242814598938132,-1.5597716903492311
3,3,1.3170227014911096,-1.559778854710957
4,4,2.1694699249020815,-1.5597909448526943
5,5,3.1984967131602278,-1.5598086114260425
6,6,4.354829796686571,-1.559827981410131
7,7,5.708553532671667,-1.5598462925706467
8,8,7.0596691757041565,-1.5598673353978034
9,9,8.54935865257686,-1.5598916925293969
10,10,10.658957613397746,-1.5599243945469423
11,11,12.617791125729168,-1.5599528045605542
12,12,14.65458620703404,-1.5599807645866548
13,13,17.156602141064454,-1.5600132743290316
14,14,20.37790643641458,-1.5600529165249652
15,15,23.35395844652432,-1.5600880035009936
16,16,26.710104021432063,-1.5601258583018294
17,17,30.014038393635378,-1.5601614954940806
18,18,33.40984771307497,-1.5601958040376043
19,19,37.219777299015504,-1.5602312267863767
20,20,40.816596046934606,-1.5602641747510868
21,21,44.64045233351127,-1.5602986540552735
22,22,48.67672198116094,-1.560334310481638
23,23,53.35427688477758,-1.560373813953845
24,24,58.251583296654964,-1.5604100875495546
25,25,63.24930762623228,-1.5604435930766458
26,26,68.8989076229333,-1.5604797695030932
27,27,75.65573804420363,-1.5605176078369911
28,28,80.18626941048761,-1.560533948327031
29,29,83.95130798467692,-1.5605416472889533
30,30,87.77957514071537,-1.5605460608422264
31,31,91.66272489632189,-1.56054710770809
32,32,95.89387858129543,-1.5605436859607453
33,33,99.72798299093506,-1.5605364225502283
34,34,102.65513107455828,-1.5605294561217529
35,35,105.64958007438857,-1.560529115177733
36,36,107.98739356100975,-1.5605348642164245
37,37,110.34425032156037,-1.5605395502644606
38,38,112.67136042116675,-1.5605425245700464
39,39,114.6298843025704,-1.5605658353105154
40,40,116.16900490651399,-1.5606065229376578
41,41,117.59473450505224,-1.560646894250307
42,42,118.32981661645542,-1.5606667934276972
43,43,119.03966974502745,-1.5606857708202546
44,44,119.89580039847607,-1.5614213652494726
45,45,120.94719956680198,-1.5638809888835687
46,46,122.1300160214098,-1.5680041410042924
47,47,123.45823328436583,1.567110736953669
48,48,124.69863344607064,1.5588200589689696
49,49,125.8965854663833,1.5481223767699048
50,50,127.1615838007374,1.532489219183427
51,51,128.1382692226276,1.5143467414704168
52,52,128.72194666285037,1.496089549198441
53,53,129.12541017574304,1.4701768296358357
54,54,129.598240067309,1.4413948333830067
55,55,130.30229674112323,1.4072474938431334
56,56,131.05486517582239,1.3735500900875988
57,57,131.76195927381275,1.3415730676103812
58,58,132.69227677975695,1.3094614449378499
59,59,133.84147186509253,1.2767535021773044
60,60,135.35075746351117,1.2417683791341383
61,61,136.90625305795794,1.2102606302746248
62,62,138.75296388179535,1.1767765841288655
63,63,141.12489642573863,1.1384558933008044
64,64,144.05670746267018,1.096584523513566
65,65,147.0997043561017,1.058011237602879
66,66,149.96318747656386,1.0252770606745225
67,67,152.89424328744263,0.9946750553545276
68,68,155.75124139036134,0.967209696740038
69,69,158.60326523346464,0.941771745463323
70,70,161.1286414691832,0.920686872383522
71,71,163.28317843579669,0.9036500061945271
72,72,165.3965814846307,0.8877105205545365
73,73,166.9301444470689,0.8765864313152838
74,74,168.01617469807684,0.8689205530599629
75,75,168.90739964108897,0.8627542590608459
76,76,169.69520736688077,0.8573935403686825
77,77,170.5720804527159,0.8515228097784389
78,78,171.63472905773727,0.8445393508125583
79,79,172.8290338772645,0.8368429106928531
80,80,174.0146100612561,0.8275190273684673
81,81,174.9642640942348,0.816292469968931
82,82,175.62982633817893,0.8030610809783401
83,83,175.89752597268077,0.7891613078905424
84,84,175.81184867939194,0.7771148376521481
