,Time,r,theta
0,0,-0.19335368629006439,-1.6134245152755915
1,1,-0.39032662364621007,-1.9149780244133443
2,2,-0.25028847293664824,-1.578352012778828
3,3,0.9284818973237876,-1.353702374638243
4,4,1.30866830636301,-1.5606471030160032
5,5,1.1909490633481292,-1.3495961008930777
6,6,2.32006476963222,-1.986782366042357
7,7,2.771147464106416,-1.9064674884704063
8,8,3.235607293375596,-1.2926091538253692
9,9,4.658512764347917,-1.5433794048765113
10,10,6.181714235713882,-1.3622115549885752
11,11,7.068017940430812,-1.6655938827252612
12,12,8.076039862396605,-1.3988481575023768
13,13,9.942381075247395,-1.7354282866264996
14,14,11.577378367571221,-0.916724469452116
15,15,12.726795442231756,-1.5751124298227241
16,16,15.36073215844364,-1.9260738840966587
17,17,17.24511259635158,-1.4784430867158764
18,18,18.956721566688167,-1.4917599154680279
19,19,21.51729704590039,-1.7222443099923717
20,20,25.363448628877293,-1.4930224075897947
21,21,26.50724331010629,-1.4184043666452066
22,22,29.20065978386099,-1.4914515770290462
23,23,33.022251573350786,-1.6733899595423283
24,24,34.37392944060912,-1.8343848231604338
25,25,37.59535102325359,-1.7917059235836232
26,26,39.726317614070744,-1.4086588787666834
27,27,42.48973922199007,-1.631109975045054
28,28,46.46060629829474,-1.6929323752424748
29,29,49.75390749745325,-1.6272787737559817
30,30,52.479483513103034,-1.4854136662926067
31,31,57.50668384228444,-1.569256319471715
32,32,60.66197533067684,-1.6004621983162914
33,33,65.08001615362046,-1.5099997595001444
34,34,69.41843641580661,-1.5443010692412549
35,35,74.07118633485915,-1.513556259397611
36,36,78.45939785594297,-1.5556919802054947
37,37,83.53013688609258,-1.621411200818517
38,38,88.93391350655095,-1.7442674678537178
39,39,94.02167774701505,-1.4021587004389295
40,40,100.95305865439346,-1.611938024163789
41,41,105.17317398066798,-1.5308149463827738
42,42,111.30581641537174,-1.5250741355930382
43,43,116.67976575795373,-1.3277301434508233
44,44,123.55710362874899,-1.5881169058518265
45,45,128.47599381766156,-1.7632155711790158
46,46,136.1698322115516,-1.4772985989325198
47,47,141.8995570112755,-1.591010687908542
48,48,150.93625413936493,-1.2817988391627506
49,49,158.58369280397113,-1.5032768228832898
50,50,164.71887265890686,-1.5605726986794006
51,51,172.78390630485254,-1.5335743604730412
52,52,180.82325693007195,-1.5785062462964432
53,53,187.27176929130434,-1.21848523053702
54,54,194.86563598599696,-1.4800771007711877
55,55,199.717454220762,-1.486567757149171
56,56,205.44335491351427,-1.8715670771264101
57,57,209.5692295855136,-1.504409529254678
58,58,213.6961224904455,-1.7580622881004466
59,59,218.3469334886987,-1.5836676181275728
60,60,223.43852886830544,-1.36875629541445
61,61,226.23179681920632,-1.5451028927832775
62,62,230.27285039054163,-1.3396354458438942
63,63,232.74232533185491,-1.9285766577246684
64,64,235.89390227907785,-1.4618742303927008
65,65,236.86226461749564,-1.6250619831594812
66,66,239.05091755900037,-1.4626615067922837
67,67,241.50141363010417,-1.3177755058814236
68,68,242.5583162346055,-1.2026670957336871
69,69,243.3910196013097,-1.6162206736797284
70,70,244.3777074609071,-1.3852547406102782
71,71,243.27501839362503,-0.9939207825258857
72,72,244.41192842505663,-1.78527498410009
73,73,244.88909455760427,-1.4086667023505732
74,74,244.8599755738198,-1.8796315960230279
75,75,244.35051235740565,-1.0845786371838233
76,76,244.7990453675612,-1.4286223736878219
77,77,245.262195476534,-1.3082341594281173
78,78,244.7962894471954,-1.627901163879338
79,79,244.3017662173688,-1.290413147859652
80,80,245.09632961689132,-1.2842496333735829
81,81,244.9482781352489,-1.4744759464784014
82,82,245.03225182892623,-1.518203575139977
83,83,245.35113787035698,-1.599704151331562
