,Time,r,theta
0,0,0.03410418399519929,-1.548166927693505
1,1,0.1548125502330411,-1.5482036795647909
2,2,0.39881263200288986,-1.5481986735547064
3,3,0.7614010816031707,-1.5482082061261089
4,4,1.239809252530757,-1.5482167829794158
5,5,1.8318475518956276,-1.548231154995242
6,6,2.535697251600694,-1.548245308434626
7,7,3.2070296332932426,-1.548259139531187
8,8,3.9404767172418125,-1.548273864465402
9,9,4.8553566722376775,-1.5482881492237344
10,10,5.886218106855379,-1.5483036384329876
11,11,7.076965058905918,-1.5483238813179383
12,12,8.419187173478862,-1.548347572505851
13,13,9.915490797231449,-1.5483732335297788
14,14,11.557048593427474,-1.5484000611032036
15,15,13.33034187241875,-1.5484257615833028
16,16,15.23261308370653,-1.5484529994179055
17,17,17.25701580327204,-1.548481301911558
18,18,19.400121070056176,-1.5485099642924292
19,19,21.658268112560034,-1.548539004693263
20,20,24.028676634115012,-1.5485682370786207
21,21,26.508983310725664,-1.548597724489637
22,22,29.097230287229653,-1.5486274566130251
23,23,31.756608786131984,-1.5486566942156785
24,24,34.00283055493703,-1.548679294991442
25,25,36.802051768332404,-1.548706315497491
26,26,39.70883062972775,-1.5487340115865869
27,27,42.71706787658653,-1.5487624175187553
28,28,46.3477324747852,-1.5487960767256677
29,29,49.56094803771871,-1.548825273164892
30,30,52.8638754532,-1.5488546561841892
31,31,56.82811709523588,-1.5488891385521597
32,32,60.90882351481989,-1.5489235586349
33,33,65.10463883738356,-1.5489585129170862
34,34,69.41378508525183,-1.5489934927801052
35,35,73.83505150288008,-1.5490286197352132
36,36,78.36727947977914,-1.549063968453475
37,37,83.68154487511994,-1.5491045908311687
38,38,89.08663197804626,-1.5491448370658831
39,39,94.59763004035152,-1.5491838135609974
40,40,100.25247862081241,-1.5492230408320342
41,41,105.91337595258084,-1.5492618381777903
42,42,111.80078601219941,-1.549301500701639
43,43,117.69384247613021,-1.5493404564437914
44,44,123.00711445770533,-1.5493749143530722
45,45,129.19366861487654,-1.5494142906284682
46,46,136.30985250977787,-1.5494587082817812
47,47,143.55936559625482,-1.5495030556126976
48,48,150.79015897656546,-1.5495464995081805
49,49,157.77494355169327,-1.5495877403062308
50,50,164.88408997812758,-1.5496279876795327
51,51,172.9200097557292,-1.5496681626395643
52,52,180.54155310370007,-1.5496991620705889
53,53,187.46227783601978,-1.549721682260626
54,54,194.53343934717094,-1.549739829886023
55,55,200.77900217811506,-1.5497506268154717
56,56,205.84185544579202,-1.5497557111908065
57,57,209.99294404042453,-1.549756331327958
58,58,214.60415686672027,-1.5497526127576513
59,59,218.64821779956125,-1.5497462690341055
60,60,222.8436981882992,-1.5497385729883622
61,61,226.8428145131414,-1.5497294123615903
62,62,230.2190481311357,-1.549720227701744
63,63,232.9769322711617,-1.5497117823234534
64,64,235.3024497255297,-1.5497040502710009
65,65,237.43813833869544,-1.5496964517752332
66,66,239.06037076351268,-1.5496945907381443
67,67,240.63895121907396,-1.5497566907887295
68,68,241.92665393708728,-1.5498478491731973
69,69,243.07329357340984,-1.5499306626369038
70,70,243.7071946722462,-1.549975948308908
71,71,243.89559942894218,-1.549990083387374
72,72,244.0080267921204,-1.5499982342128107
73,73,244.25503809843502,-1.5500161241927186
74,74,244.48094691585325,-1.550032447061476
75,75,244.65976295470833,-1.5500453516231365
76,76,244.8243446674294,-1.5500571956673672
77,77,244.98526643567786,-1.5500687760226297
78,78,245.09999881613024,-1.5500770102810555
79,79,245.18064532503976,-1.5500826814904223
80,80,245.17032466048565,-1.5500823658435638
81,81,245.15561525281487,-1.550081364619616
82,82,245.13824195661545,-1.5500801734609537
83,83,245.1221890296822,-1.5500790732702006
