,Time,r,theta
0,0,0.09806940713949913,-1.5621973369287054
1,1,0.16923332240103184,-1.5627302205980875
2,2,0.29224553073190274,-1.563048968196449
3,3,0.4013269843100865,-1.5631545485841154
4,4,0.5870717578544722,-1.5632717867746269
5,5,0.8280920728767966,-1.5633293381145346
6,6,1.011783644463487,-1.563361138956646
7,7,1.2909132682974853,-1.55293183585694
8,8,1.6042647502980083,-1.5263584252846076
9,9,1.975005374873221,-1.5028959651000509
10,10,2.338038761044258,-1.4976098207910402
11,11,2.715650804034734,-1.4947413257076136
12,12,3.011060346311593,-1.4930963782219728
13,13,3.428682273017217,-1.4912945551786492
14,14,3.8931437579161763,-1.4897709394014305
15,15,4.376417151766611,-1.4885376115335496
16,16,4.931276197719278,-1.4874224048706095
17,17,5.442858227750298,-1.4865983901096373
18,18,5.995520931435706,-1.4858686536326402
19,19,6.431336800182317,-1.4853798371088662
20,20,7.079987675183022,-1.484767252491883
21,21,7.780483765881868,-1.484223560537289
22,22,8.498720623046347,-1.4837612183978137
23,23,9.249461176571016,-1.4833549791486533
24,24,10.037319091351907,-1.4829978599823668
25,25,10.864394023899646,-1.482679515543048
26,26,11.709914917075178,-1.482401828778193
27,27,12.622463492769946,-1.4821466827077612
28,28,13.500577855685979,-1.4819343209318256
29,29,14.486636481767595,-1.4817282289124678
30,30,15.490076778636455,-1.4815467528491795
31,31,16.599110303675346,-1.4813733575859445
32,32,17.405420746542767,-1.481261966807108
33,33,18.511449089259795,-1.481650973847856
34,34,19.675349145711476,-1.4842566170980678
35,35,20.55383944562248,-1.4865662473398822
36,36,21.72073365121845,-1.4894093145063223
37,37,23.001302199005575,-1.4923889579133958
38,38,24.36865616849715,-1.4952920403809375
39,39,25.733513801269314,-1.4978987232550922
40,40,26.983924578956408,-1.4999597546812307
41,41,28.368511096247463,-1.5009837983257897
42,42,29.806447598736387,-1.5016044900323322
43,43,31.113613974434223,-1.501956589702943
44,44,32.67053294071896,-1.5022207197136859
45,45,34.04884836767117,-1.5024900318806698
46,46,35.403721884320056,-1.503305125872747
47,47,37.01030087176718,-1.5043106720698625
48,48,38.471881938606344,-1.5052849774835146
49,49,40.139365010997,-1.5063769214686356
50,50,41.12389293384227,-1.5069939875910279
51,51,42.49431129617528,-1.5078120222714129
52,52,44.59157027268217,-1.508972129203133
53,53,45.985499311418934,-1.509686145225009
54,54,47.76968964679312,-1.5105397818890565
55,55,49.137967611028614,-1.5111531715153115
56,56,50.944911390401934,-1.5119129163638387
57,57,51.98360353330764,-1.512326032066814
58,58,54.26312117334075,-1.513178244885963
